70,968,0,,,,,,,2950,0.5345,0.7833,0.8991,,,,
387,994,0,,,,,,,2975,0.5375,0.7861,0.9011,,,,
254,1017,0,,,,,,,3000,0.5405,0.7888,0.903,,,,
96,1131,0,,,,,,,3025,0.5434,0.7916,0.9048,,,,
40,1144,0,,,,,,,3050,0.5464,0.7942,0.9067,,,,
422,1245,0,,,,,,,3075,0.5493,0.7969,0.9085,,,,
355,1269,0,,,,,,,3100,0.5522,0.7995,0.9102,,,,
28,1285,0,,,,,,,3125,0.5551,0.8021,0.912,,,,
238,1296,0,,,,,,,3150,0.558,0.8046,0.9136,,,,
445,1369,0,,,,,,,3175,0.5609,0.8071,0.9153,,,,
160,1419,0,,,,,,,3200,0.5637,0.8096,0.9169,,,,
12,1500,0,,,,,,,3225,0.5665,0.8121,0.9185,,,,
470,1509,0,,,,,,,3250,0.5693,0.8145,0.9201,,,,
83,1661,0,,,,,,,3275,0.5721,0.8169,0.9216,,,,
93,1664,0,,,,,,,3300,0.5749,0.8192,0.9232,,,,
68,1688,0,,,,,,,3325,0.5776,0.8216,0.9246,,,,
461,1744,0,,,,,,,3350,0.5803,0.8239,0.9261,,,,
294,1782,0,,,,,,,3375,0.583,0.8261,0.9275,,,,
56,1837,0,,,,,,,3400,0.5857,0.8284,0.9289,,,,
196,2029,0,,,,,,,3425,0.5884,0.8306,0.9303,,,,
51,2232,0,,,,,,,3450,0.5911,0.8328,0.9316,,,,
486,2458,0,,,,,,,3475,0.5937,0.8349,0.9329,,,,
435,2577,0,,,,,,,3500,0.5963,0.8371,0.9342,,,,
457,2638,0,,,,,,,3525,0.5989,0.8391,0.9355,,,,
266,2702,0,,,,,,,3550,0.6015,0.8412,0.9367,,,,
361,2713,0,,,,,,,3575,0.6041,0.8433,0.9379,,,,
288,2809,0,,,,,,,3600,0.6067,0.8453,0.9391,,,,
118,2993,0,,,,,,,3625,0.6092,0.8473,0.9403,,,,
311,3052,0,,,,,,,3650,0.6117,0.8492,0.9415,,,,
116,3165,0,,,,,,,3675,0.6142,0.8512,0.9426,,,,
